Label (Grouping),Category,State,Estimate,Margin of Error,Percent,Percent Margin of Error,Year
With Food Stamp/SNAP benefits in the past 12 months,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"27,017",±837,10.4%,±0.3,2021
    Families,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"170,981","±1,725","170,981",(X),2021
"Less than $10,000",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"4,173",±418,2.4%,±0.2,2021
"$10,000 to $14,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"2,721",±343,1.6%,±0.2,2021
"$15,000 to $24,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"6,628",±580,3.9%,±0.3,2021
"$25,000 to $34,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"8,411",±605,4.9%,±0.4,2021
"$35,000 to $49,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"13,837",±774,8.1%,±0.4,2021
"$50,000 to $74,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"28,439","±1,235",16.6%,±0.7,2021
"$75,000 to $99,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"24,316","±1,289",14.2%,±0.7,2021
"$100,000 to $149,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"38,269","±1,604",22.4%,±0.9,2021
"$150,000 to $199,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"21,582",±829,12.6%,±0.5,2021
"$200,000 or more",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"22,605",±845,13.2%,±0.5,2021
        Median family income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"96,658","±1,605",(X),(X),2021
        Mean family income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"118,906","±1,537",(X),(X),2021
    Per capita income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"39,236",±421,(X),(X),2021
    Nonfamily households,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"89,580","±1,804","89,580",(X),2021
        Median nonfamily income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"52,159","±1,213",(X),(X),2021
        Mean nonfamily income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"66,816","±1,549",(X),(X),2021
    Median earnings for workers (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"42,523",±553,(X),(X),2021
"    Median earnings for male full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"64,397",±867,(X),(X),2021
"    Median earnings for female full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"53,722",±617,(X),(X),2021
HEALTH INSURANCE COVERAGE,Header,Alaska,,,,,2021
    Civilian noninstitutionalized population,HEALTH INSURANCE COVERAGE,Alaska,"709,438",±936,"709,438",(X),2021
        With health insurance coverage,HEALTH INSURANCE COVERAGE,Alaska,"622,998","±3,367",87.8%,±0.4,2021
            With private health insurance,HEALTH INSURANCE COVERAGE,Alaska,"461,531","±4,340",65.1%,±0.6,2021
            With public coverage,HEALTH INSURANCE COVERAGE,Alaska,"250,205","±3,894",35.3%,±0.6,2021
        No health insurance coverage,HEALTH INSURANCE COVERAGE,Alaska,"86,440","±3,178",12.2%,±0.4,2021
Civilian noninstitutionalized population under 19 years,HEALTH INSURANCE COVERAGE,Alaska,"191,282",±574,"191,282",(X),2021
        No health insurance coverage,HEALTH INSURANCE COVERAGE,Alaska,"16,925","±1,202",8.8%,±0.6,2021
Civilian noninstitutionalized population 19 to 64 years,HEALTH INSURANCE COVERAGE,Alaska,"429,408","±1,281","429,408",(X),2021
        In labor force:,HEALTH INSURANCE COVERAGE,Alaska,"333,712","±2,361","333,712",(X),2021
            Employed:,HEALTH INSURANCE COVERAGE,Alaska,"311,018","±2,316","311,018",(X),2021
                With health insurance coverage,HEALTH INSURANCE COVERAGE,Alaska,"266,736","±2,521",85.8%,±0.6,2021
                    With private health insurance,HEALTH INSURANCE COVERAGE,Alaska,"237,155","±2,581",76.3%,±0.7,2021
                    With public coverage,HEALTH INSURANCE COVERAGE,Alaska,"45,945","±1,878",14.8%,±0.6,2021
                No health insurance coverage,HEALTH INSURANCE COVERAGE,Alaska,"44,282","±1,942",14.2%,±0.6,2021
            Unemployed:,HEALTH INSURANCE COVERAGE,Alaska,"22,694","±1,221","22,694",(X),2021
                With health insurance coverage,HEALTH INSURANCE COVERAGE,Alaska,"15,808",±964,69.7%,±2.2,2021
                    With private health insurance,HEALTH INSURANCE COVERAGE,Alaska,"7,260",±731,32.0%,±2.7,2021
                    With public coverage,HEALTH INSURANCE COVERAGE,Alaska,"9,471",±740,41.7%,±2.4,2021
                No health insurance coverage,HEALTH INSURANCE COVERAGE,Alaska,"6,886",±650,30.3%,±2.2,2021
        Not in labor force:,HEALTH INSURANCE COVERAGE,Alaska,"95,696","±2,011","95,696",(X),2021
            With health insurance coverage,HEALTH INSURANCE COVERAGE,Alaska,"78,309","±1,834",81.8%,±1.0,2021
                With private health insurance,HEALTH INSURANCE COVERAGE,Alaska,"47,568","±1,758",49.7%,±1.5,2021
                With public coverage,HEALTH INSURANCE COVERAGE,Alaska,"38,707","±1,410",40.4%,±1.3,2021
            No health insurance coverage,HEALTH INSURANCE COVERAGE,Alaska,"17,387","±1,001",18.2%,±1.0,2021
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Header,Alaska,,,,,2021
    All families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alaska,(X),(X),7.1%,±0.4,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alaska,(X),(X),10.6%,±0.6,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alaska,(X),(X),12.0%,±1.7,2021
        Married couple families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alaska,(X),(X),3.5%,±0.3,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alaska,(X),(X),4.6%,±0.5,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alaska,(X),(X),5.3%,±1.5,2021
"        Families with female householder, no spouse present",PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alaska,(X),(X),21.4%,±1.9,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alaska,(X),(X),28.2%,±2.6,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alaska,(X),(X),32.1%,±6.4,2021
    All people,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alaska,(X),(X),10.4%,±0.3,2021
Under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alaska,(X),(X),13.1%,±0.8,2021
Related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alaska,(X),(X),12.6%,±0.7,2021
Related children of the householder under 5 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alaska,(X),(X),15.4%,±1.3,2021
Related children of the householder 5 to 17 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alaska,(X),(X),11.6%,±0.8,2021
18 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alaska,(X),(X),9.5%,±0.3,2021
18 to 64 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alaska,(X),(X),9.9%,±0.4,2021
65 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alaska,(X),(X),7.4%,±0.8,2021
        People in families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alaska,(X),(X),7.9%,±0.4,2021
Unrelated individuals 15 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alaska,(X),(X),19.9%,±0.7,2021
EMPLOYMENT STATUS,Header,Arizona,,,,,2021
Population 16 years and over,EMPLOYMENT STATUS,Arizona,"5,650,624","±2,102","5,650,624",(X),2021
        In labor force,EMPLOYMENT STATUS,Arizona,"3,424,193","±7,423",60.6%,±0.1,2021
            Civilian labor force,EMPLOYMENT STATUS,Arizona,"3,401,906","±7,579",60.2%,±0.1,2021
                Employed,EMPLOYMENT STATUS,Arizona,"3,210,791","±7,197",56.8%,±0.1,2021
                Unemployed,EMPLOYMENT STATUS,Arizona,"191,115","±3,619",3.4%,±0.1,2021
            Armed Forces,EMPLOYMENT STATUS,Arizona,"22,287","±1,167",0.4%,±0.1,2021
        Not in labor force,EMPLOYMENT STATUS,Arizona,"2,226,431","±7,444",39.4%,±0.1,2021
    Civilian labor force,EMPLOYMENT STATUS,Arizona,"3,401,906","±7,579","3,401,906",(X),2021
        Unemployment Rate,EMPLOYMENT STATUS,Arizona,(X),(X),5.6%,±0.1,2021
Females 16 years and over,EMPLOYMENT STATUS,Arizona,"2,846,006","±1,543","2,846,006",(X),2021
        In labor force,EMPLOYMENT STATUS,Arizona,"1,584,554","±5,587",55.7%,±0.2,2021
            Civilian labor force,EMPLOYMENT STATUS,Arizona,"1,581,225","±5,576",55.6%,±0.2,2021
                Employed,EMPLOYMENT STATUS,Arizona,"1,490,274","±5,431",52.4%,±0.2,2021
Own children of the householder under 6 years,EMPLOYMENT STATUS,Arizona,"473,732","±2,728","473,732",(X),2021
        All parents in family in labor force,EMPLOYMENT STATUS,Arizona,"300,160","±3,446",63.4%,±0.7,2021
Own children of the householder 6 to 17 years,EMPLOYMENT STATUS,Arizona,"1,048,275","±3,699","1,048,275",(X),2021
        All parents in family in labor force,EMPLOYMENT STATUS,Arizona,"714,623","±6,855",68.2%,±0.6,2021
COMMUTING TO WORK,Header,Arizona,,,,,2021
Workers 16 years and over,COMMUTING TO WORK,Arizona,"3,174,911","±7,271","3,174,911",(X),2021
"        Car, truck, or van -- drove alone",COMMUTING TO WORK,Arizona,"2,302,824","±7,667",72.5%,±0.2,2021
"        Car, truck, or van -- carpooled",COMMUTING TO WORK,Arizona,"325,297","±5,987",10.2%,±0.2,2021
        Public transportation (excluding taxicab),COMMUTING TO WORK,Arizona,"44,037","±2,054",1.4%,±0.1,2021
        Walked,COMMUTING TO WORK,Arizona,"56,737","±2,357",1.8%,±0.1,2021
        Other means,COMMUTING TO WORK,Arizona,"74,087","±2,259",2.3%,±0.1,2021
        Worked from home,COMMUTING TO WORK,Arizona,"371,929","±5,791",11.7%,±0.2,2021
        Mean travel time to work (minutes),COMMUTING TO WORK,Arizona,25.7,±0.1,(X),(X),2021
OCCUPATION,Header,Arizona,,,,,2021
Civilian employed population 16 years and over,OCCUPATION,Arizona,"3,210,791","±7,197","3,210,791",(X),2021
"        Management, business, science, and arts occupations",OCCUPATION,Arizona,"1,240,175","±9,410",38.6%,±0.3,2021
        Service occupations,OCCUPATION,Arizona,"578,248","±7,433",18.0%,±0.2,2021
        Sales and office occupations,OCCUPATION,Arizona,"753,182","±6,235",23.5%,±0.2,2021
"        Natural resources, construction, and maintenance occupations",OCCUPATION,Arizona,"289,157","±5,144",9.0%,±0.2,2021
"        Production, transportation, and material moving occupations",OCCUPATION,Arizona,"350,029","±4,378",10.9%,±0.1,2021
INDUSTRY,Header,Arizona,,,,,2021
Civilian employed population 16 years and over,INDUSTRY,Arizona,"3,210,791","±7,197","3,210,791",(X),2021
"        Agriculture, forestry, fishing and hunting, and mining",INDUSTRY,Arizona,"40,048","±1,922",1.2%,±0.1,2021
        Construction,INDUSTRY,Arizona,"234,633","±4,254",7.3%,±0.1,2021
        Manufacturing,INDUSTRY,Arizona,"231,395","±4,017",7.2%,±0.1,2021
        Wholesale trade,INDUSTRY,Arizona,"72,174","±2,455",2.2%,±0.1,2021
        Retail trade,INDUSTRY,Arizona,"384,059","±5,228",12.0%,±0.2,2021
"        Transportation and warehousing, and utilities",INDUSTRY,Arizona,"180,321","±3,658",5.6%,±0.1,2021
        Information,INDUSTRY,Arizona,"56,224","±2,271",1.8%,±0.1,2021
"        Finance and insurance, and real estate and rental and leasing",INDUSTRY,Arizona,"278,873","±4,721",8.7%,±0.1,2021
"        Professional, scientific, and management, and administrative and waste management services",INDUSTRY,Arizona,"401,253","±5,092",12.5%,±0.2,2021
"        Educational services, and health care and social assistance",INDUSTRY,Arizona,"708,322","±7,429",22.1%,±0.2,2021
"        Arts, entertainment, and recreation, and accommodation and food services",INDUSTRY,Arizona,"321,908","±5,336",10.0%,±0.2,2021
"        Other services, except public administration",INDUSTRY,Arizona,"146,414","±3,062",4.6%,±0.1,2021
        Public administration,INDUSTRY,Arizona,"155,167","±3,283",4.8%,±0.1,2021
CLASS OF WORKER,Header,Arizona,,,,,2021
Civilian employed population 16 years and over,CLASS OF WORKER,Arizona,"3,210,791","±7,197","3,210,791",(X),2021
        Private wage and salary workers,CLASS OF WORKER,Arizona,"2,564,024","±9,252",79.9%,±0.2,2021
        Government workers,CLASS OF WORKER,Arizona,"445,989","±5,330",13.9%,±0.2,2021
        Self-employed in own not incorporated business workers,CLASS OF WORKER,Arizona,"194,428","±3,933",6.1%,±0.1,2021
        Unpaid family workers,CLASS OF WORKER,Arizona,"6,350",±655,0.2%,±0.1,2021
INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Header,Arizona,,,,,2021
    Total households,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"2,683,557","±6,004","2,683,557",(X),2021
"Less than $10,000",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"148,295","±3,183",5.5%,±0.1,2021
"$10,000 to $14,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"90,482","±2,545",3.4%,±0.1,2021
"$15,000 to $24,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"207,020","±3,697",7.7%,±0.1,2021
"$25,000 to $34,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"228,021","±3,946",8.5%,±0.1,2021
"$35,000 to $49,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"338,093","±5,193",12.6%,±0.2,2021
"$50,000 to $74,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"488,175","±5,868",18.2%,±0.2,2021
"$75,000 to $99,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"361,450","±4,518",13.5%,±0.2,2021
"$100,000 to $149,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"436,397","±5,049",16.3%,±0.2,2021
"$150,000 to $199,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"186,606","±3,469",7.0%,±0.1,2021
"$200,000 or more",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"199,018","±3,527",7.4%,±0.1,2021
        Median household income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"65,913",±387,(X),(X),2021
        Mean household income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"89,693",±503,(X),(X),2021
        With earnings,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"2,026,270","±6,275",75.5%,±0.2,2021
            Mean earnings (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"89,871",±516,(X),(X),2021
        With Social Security,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"901,976","±4,437",33.6%,±0.2,2021
            Mean Social Security income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"22,312",±103,(X),(X),2021
        With retirement income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"644,517","±5,084",24.0%,±0.2,2021
            Mean retirement income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"30,092",±415,(X),(X),2021
        With Supplemental Security Income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"112,052","±2,846",4.2%,±0.1,2021
            Mean Supplemental Security Income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"10,807",±173,(X),(X),2021
        With cash public assistance income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"55,133","±2,429",2.1%,±0.1,2021
            Mean cash public assistance income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"3,842",±238,(X),(X),2021
With Food Stamp/SNAP benefits in the past 12 months,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"274,294","±3,959",10.2%,±0.1,2021
    Families,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"1,747,769","±8,111","1,747,769",(X),2021
"Less than $10,000",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"64,401","±2,274",3.7%,±0.1,2021
"$10,000 to $14,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"32,564","±1,367",1.9%,±0.1,2021
"$15,000 to $24,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Arizona,"92,898","±2,551",5.3%,±0.1,2021
